time,mean,min,max,source,climatology,anomaly
1940-10-16 00:00:00+00:00,12.57,7.52,17.11,ERA5,11.25,1.32
1940-10-17 00:00:00+00:00,15.1,12.9,17.78,ERA5,11.12,3.97
1940-10-18 00:00:00+00:00,15.11,11.29,18.5,ERA5,10.99,4.12
1940-10-19 00:00:00+00:00,12.06,8.19,17.39,ERA5,10.86,1.2
1940-10-20 00:00:00+00:00,10.94,5.85,17.33,ERA5,10.72,0.22
1940-10-21 00:00:00+00:00,12.47,8.37,16.9,ERA5,10.57,1.89
1940-10-22 00:00:00+00:00,13.23,12.09,15.23,ERA5,10.42,2.8
1940-10-23 00:00:00+00:00,9.77,5.97,12.23,ERA5,10.29,-0.51
1940-10-24 00:00:00+00:00,5.22,2.6,8.2,ERA5,10.16,-4.94
1940-10-25 00:00:00+00:00,3.27,0.36,6.23,ERA5,10.02,-6.75
1940-10-26 00:00:00+00:00,3.21,1.38,5.5,ERA5,9.9,-6.69
1940-10-27 00:00:00+00:00,2.4,-1.39,7.24,ERA5,9.77,-7.37
1940-10-28 00:00:00+00:00,1.73,-3.01,6.8,ERA5,9.64,-7.91
1940-10-29 00:00:00+00:00,2.24,-2.69,6.1,ERA5,9.5,-7.26
1940-10-30 00:00:00+00:00,-0.16,-3.72,3.77,ERA5,9.36,-9.52
1940-10-31 00:00:00+00:00,8.13,2.25,14.25,ERA5,9.22,-1.09
1940-11-01 00:00:00+00:00,9.56,6.55,13.07,ERA5,9.08,0.48
1940-11-02 00:00:00+00:00,10.97,6.98,13.22,ERA5,8.95,2.01
1940-11-03 00:00:00+00:00,12.36,11.87,12.94,ERA5,8.82,3.54
1940-11-04 00:00:00+00:00,12.05,8.02,13.99,ERA5,8.69,3.37
1940-11-05 00:00:00+00:00,8.27,5.71,11.36,ERA5,8.56,-0.29
1940-11-06 00:00:00+00:00,8.82,6.7,10.99,ERA5,8.44,0.38
1940-11-07 00:00:00+00:00,7.29,3.45,9.04,ERA5,8.32,-1.04
1940-11-08 00:00:00+00:00,5.52,2.53,8.23,ERA5,8.2,-2.69
1940-11-09 00:00:00+00:00,6.55,4.46,8.69,ERA5,8.07,-1.52
1940-11-10 00:00:00+00:00,8.1,6.76,10.1,ERA5,7.93,0.17
1940-11-11 00:00:00+00:00,6.92,3.29,10.36,ERA5,7.8,-0.88
1940-11-12 00:00:00+00:00,9.94,8.74,11.01,ERA5,7.68,2.26
1940-11-13 00:00:00+00:00,9.2,8.39,12.61,ERA5,7.56,1.65
1940-11-14 00:00:00+00:00,8.46,5.0,12.58,ERA5,7.44,1.03
1940-11-15 00:00:00+00:00,5.9,2.63,8.66,ERA5,7.31,-1.42
1940-11-16 00:00:00+00:00,7.75,5.99,9.75,ERA5,7.2,0.55
1940-11-17 00:00:00+00:00,7.6,4.76,9.57,ERA5,7.1,0.5
